code,actual_controller,ownership_type
002016,梁社增,private
002017,中国普天信息产业集团公司,private
002019,过鑫富,private
002020,吕钢,private
002021,蔡开坚,private
002022,"徐显德,唐伟国,沙立武",private
002023,李再春,private
002024,张近东,private
002025,中国航天科工集团公司,state
002026,杨桂模,private
002027,易贤忠,private
002028,董增平,private
002029,"周永伟,周少雄,周少明,陈鹏玲",private
002030,中山大学,private
002031,吴潮忠,private
002032,SEB S.A.,private
002033,丽江玉龙雪山省级旅游开发区管理委员会,private
002034,单建明,private
002035,"黄文枝,邓新华,潘权枝,黄启均,李家康,关锡源,杨建辉",private
002036,李如成,private
002037,贵州省人民政府国有资产监督管理委员会,state
002038,河南省新乡市国有资产监督管理委员会,state
002039,中国华电集团公司,private
002040,南京市国有资产监督管理委员会,state
002041,李登海,private
002042,"孙伟挺,陈玲芬",private
002043,丁鸿敏,private
002044,张璞,private
002045,周海昌,private
002046,国务院国有资产监督管理委员会,state
002047,欧阳明及其一致行动人,private
002048,周晓峰,private
002049,教育部,private
002050,张道才,private
002051,国务院国有资产监督管理委员会,state
002052,袁明,private
002053,云天化集团有限责任公司,private
002054,黄冠雄,private
002055,"邱建民,邱为民",private
002056,横店社团经济企业联合会,private
002057,国务院国有资产监督管理委员会,state
002058,沈雯,private
002059,云南省人民政府国有资产监督管理委员会,state
002060,广东省人民政府国有资产监督管理委员会,state
002061,浙江省铁路投资集团有限公司,private
002062,郑宏舫,private
002063,陈利浩,private
002064,尤小平,private
002065,"薛向东,郭玉梅(妻),薛荣文(父),邵会兰(母),薛坤(儿),陈竹桂(岳母),薛向辉(弟),郭玉杰(妻弟),邵会深(舅)",private
002066,国务院国有资产监督管理委员会,state
002067,朱在龙,private
002068,景德镇市国有资产监督管理委员会,state
002069,长海县獐子岛投资发展中心,private
002072,德州市国有资产管理办公室,state
002073,袁仲雪,private
002074,孙益源,private
002075,沈文荣,private
002076,柴国生,private
002077,镇江市人民政府国有资产监督管理委员会,state
002078,李洪信,private
002079,吴念博,private
002080,国务院国有资产监督管理委员会,state
002081,朱兴良,private
002082,陆志宝,private
002083,孙日贵,private
002084,"戎启平及其家人,唐台英及其家人,叶煊,李培基,林峰",private
002085,"陈爱莲,吴良定,吴捷",private
002086,车轼,private
002088,沂源县南麻镇集体资产经营管理中心,private
002090,"葛宁,徐兵,叶留金,冯伟江,朱华明,郭伟,陈钢,贺安鹰,丁小异",private
002091,江苏国泰国际集团有限公司,private
002092,新疆维吾尔自治区人民政府国有资产监督管理委员会,state
002093,"陈国鹰,林惠榕,林金全",private
002094,陈索斌,private
002095,孙德良,private
002096,湖南省人民政府国有资产监督管理委员会,state
002097,何清华,private
002098,"施能坑,施能建,施明取,施加谋,郑景秋,施能辉",private
002099,罗煜竑,private
002100,新疆生产建设兵团国有资产经营公司,state
002101,高要市国有资产经营有限公司,state
002102,"林福椿,林文智,林文昌,林文洪",private
002103,王利平,private
002104,钱云宝,private
002105,廖学金,private
002106,国务院国有资产监督管理委员会,state
002107,赵丙贤,private
002108,于桂亭,private
002109,陕西延长石油(集团)有限责任公司,private
002110,福建省人民政府国有资产监督管理委员会,state
002111,李光太,private
002112,浙江省三门县人民政府,state
002114,罗平县财政局,state
002115,李越伦,private
002116,国务院国有资产监督管理委员会,state
002117,谷望江,private
002119,"郑康定,曹瑞花",private
002120,黄新华,private
002121,饶陆华,private
002122,马兴法父子,private
002123,"厉伟,左强,崔京涛",private
002124,"张邦辉,吴天星",private
002125,湘潭市国有资产监督管理委员会,state
002126,徐小敏,private
002127,柳维特,private
002128,中国电力投资集团公司,private
002129,天津市人民政府国有资产监督管理委员会,state
002130,周和平,private
002131,王相荣,private
002132,谢保军,private
002133,王鹤鸣,private
002134,天津市国有资产监督管理委员会,state
002135,郭明明,private
002136,铜陵市国有资产监督管理委员会,state
002137,"陈亚妹,乔昕",private
002138,倪秉达,private
002139,武永强,private
002140,中国化学工程集团公司,private
002141,诸建中,private
002142,,no_controller
002144,沈国甫,private
002145,中国信达资产管理股份有限公司,private
002146,耿建明,private
002148,傅乐民,private
002149,陕西省财政厅,private
002150,顾雄斌,private
002151,周儒欣,private
002152,广州市国有资产监督管理委员会,state
002153,李仲初,private
002154,,no_controller
002155,湖南省人民政府国有资产监督管理委员会,state
002156,石明达,private
002157,林印孙,private
002158,廖哲男,private
002159,武汉市国有资产管理委员会,state
002160,张平,private
002161,"徐玉锁,陈光珠",private
002162,李慈雄,private
002163,国务院国有资产监督管理委员会,state
002164,"宋济隆,许丽萍",private
002165,芮敬功,private
002166,秦本军,private
002167,陈潮钿,private
002168,"吕晓义,何平,匡晓明,任金生",private
002169,郑晓军,private
002170,黄培钊,private
002171,姜纯,private
002172,沈学如,private
002173,陈夏英,private
002174,王安邦,private
002175,彭朋,private
002176,"朱军,卢顺民",private
002177,杨文江,private
002178,胡黎明,private
002179,中国航空工业集团公司,state
002180,庞江华,private
002181,广州日报社,private
002182,梅小明,private
002183,周国辉,private
002184,"许泓,郭孟榕",private
002185,肖胜利等16名自然人,private
002186,北京市国有资产监督管理委员会,state
002187,广州市人民政府国有资产监督管理委员会,state
002188,丁仁涛,private
002189,国务院国有资产监督管理委员会,state
002190,中国航空工业集团公司,state
002191,乔鲁予,private
002192,柯荣卿,private
002193,中国东方资产管理公司,private
002194,"王丽丽,孟庆南",private
002195,包叔平,private
002196,张敏,private
002197,"曾胜强,许忠桂",private
002198,黄小彪,private
002199,李庆跃,private
002200,何学葵,private
002201,顾清波,private
002202,,no_controller
002203,冯海良,private
002204,大连市人民政府国有资产监督管理委员会,state
002205,中国中材集团有限公司,private
002206,高利民,private
002207,秦勇,private
002208,合肥市国有资产控股有限公司,state
002209,张颂明,private
002210,黄壮勉,private
002211,朱德洪,private
002212,郑钟南,private
002213,"凌兆蔚,张慧民",private
002214,庞惠民,private
002215,"卢柏强,卢翠冬,卢翠珠,卢丽红,卢叙安",private
002216,"陈泽民,贾岭达,陈希,陈南",private
002217,王宜明,private
002218,"李粉莉,陈琛,陈五奎",private
002219,阙文彬,private
002221,"周一峰,周汉平",private
002222,中国科学院,private
002223,吴光明,private
002224,"吴培生,吴琼瑛",private
002225,刘百宽家族,private
002226,熊立武,private
002227,廖晓霞,private
002228,"许晓光,许晓荣,许天津,吕秀英",private
002229,"尤玉仙,尤丽娟,尤友岳,尤友鸾,尤雪仙,苏凤娇,章棉桃",private
002230,刘庆峰等14位自然人股东,private
002232,国务院国有资产监督管理委员会,state
002233,"钟烈华,张能勇,徐永寿",private
002234,孙希民,private
002235,"林旭曦,张杰",private
002236,"傅利泉,陈爱玲",private
002237,王信恩,private
002238,深圳广播电影电视集团,private
002239,王进飞,private
002240,"李建华,刘宪",private
002241,"姜滨,胡双美",private
002242,"王旭宁,朱宏韬,黄淑玲,朱泽春",private
002243,深圳市国有资产监督管理局,state
002244,戚金兴,private
002245,沈学如,private
002246,中国兵器工业集团公司,state
002247,姜飞雄,private
002248,"汤世贤,高鹤鸣,李壮,刘传金",private
002249,"鲁楚平,彭惠",private
002250,牟金香,private
002251,王填,private
002252,"黄凯,郑跃文",private
002253,游志胜,private
002254,烟台市人民政府国有资产监督管理委员会,state
002255,徐元生,private
002256,"陈永弟,沈少玲",private
002258,中国工程物理研究院,private
002259,江昌政,private
002261,李新宇,private
002262,"孙彭生,祁超,付卿,杨自亮,陈增良",private
002263,"黄水寿,黄飞刚",private
002264,陈发树,private
002265,国务院国有资产监督管理委员会,state
002266,孙毅,private
002267,陕西省国有资产监督管理委员会,state
002268,中国电子科技集团公司,state
002269,周成建,private
002270,"刘毅,李胜军,管彤,郭伯春",private
002271,李卫国,private
002272,"罗丽华,钟利钢",private
002273,叶仙玉,private
002274,,no_controller
002275,邹节明家族,private
002276,张德生,private
002277,胡子敬,private
002278,"顾正,李芳英,袁建新,王祥伟",private
002279,"董泰湘,赵福君",private
002281,国务院国有资产监督管理委员会,state
002282,"陈怀荣,吕桂芹,任京建,程辉,张淑玉",private
002283,邢运波,private
002284,"黄来兴,黄伟中,黄伟潮",private
002285,"佟捷,陈劲松",private
002286,刘宗利,private
002287,雷菊芳,private
002289,魏连速,private
002290,赵东明,private
002291,"张泽民,梁怀宇",private
002292,蔡东青,private
002293,薛伟成,private
002294,"叶宇筠,Kevin Sing Ye,叶澄海,廖清清,陈志明",private
002295,"周艳贞,冯境铭",private
002296,,no_controller
002297,中南大学,private
002298,束龙胜,private
